,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,HVAC-System_Template,Output-Directory
0,Urban,180,7,3.52,Ribbon-Windows,2.53,3.26,3,3,4,8.58,True,FCU_ACChiller_ASHP,C:\Git\Work\FOR2363\Model-Runner\src
1,Suburbs,19,4,4.14,Vertical-Windows,2.11,3.47,5,4,3,8.26,True,FCU_Chiller_ASHP,C:\Git\Work\FOR2363\Model-Runner\src
2,City,142,1,3.61,Ribbon-Windows,2.0,2.95,3,4,3,12.68,False,FCU_Chiller,C:\Git\Work\FOR2363\Model-Runner\src
3,City,152,4,3.25,Horizontal-Windows,2.32,3.79,4,4,4,10.16,True,FCU_ACChiller,C:\Git\Work\FOR2363\Model-Runner\src
4,Country,171,7,2.8,Vertical-Windows,2.63,2.32,4,4,4,11.11,True,ResidentialAC_ASHPBaseboard,C:\Git\Work\FOR2363\Model-Runner\src
5,Country,95,3,3.16,Vertical-Windows,3.58,2.63,3,5,2,7.0,True,ResidentialFurnace,C:\Git\Work\FOR2363\Model-Runner\src
6,Urban,0,8,4.41,Horizontal-Windows,3.37,2.0,5,3,3,12.05,True,FCU_ACChiller_ElectricBaseboard,C:\Git\Work\FOR2363\Model-Runner\src
7,Suburbs,28,10,3.78,Horizontal-Windows,2.84,3.58,4,5,3,9.53,True,ResidentialAC_ResidentialFurnace,C:\Git\Work\FOR2363\Model-Runner\src
8,Country,123,6,4.5,Vertical-Windows,2.21,4.0,4,4,3,10.79,False,ASHPBaseboard,C:\Git\Work\FOR2363\Model-Runner\src
9,Urban,57,5,2.98,Ribbon-Windows,3.16,3.68,3,4,3,7.63,False,ResidentialAC_ElectricBaseboard,C:\Git\Work\FOR2363\Model-Runner\src
10,Urban,85,9,4.32,Vertical-Windows,2.74,3.05,4,3,4,12.37,False,FCU_DCW_ElectricBaseboard,C:\Git\Work\FOR2363\Model-Runner\src
11,City,47,6,3.87,Vertical-Windows,3.05,2.53,5,4,2,10.47,True,FCU_DCW,C:\Git\Work\FOR2363\Model-Runner\src
12,Urban,76,9,4.23,Ribbon-Windows,3.89,2.84,3,4,3,8.89,False,FCU_DCW_ASHP,C:\Git\Work\FOR2363\Model-Runner\src
13,Suburbs,66,5,3.34,Vertical-Windows,3.26,2.21,4,3,3,9.84,False,EvapCoolers_Furnace,C:\Git\Work\FOR2363\Model-Runner\src
14,Suburbs,9,2,3.43,Vertical-Windows,3.79,2.11,5,3,4,11.42,False,FCU_Chiller_ElectricBaseboard,C:\Git\Work\FOR2363\Model-Runner\src
15,Suburbs,114,2,3.96,Vertical-Windows,3.68,3.89,4,5,3,11.74,False,EvapCoolers_ElectricBaseboard,C:\Git\Work\FOR2363\Model-Runner\src
16,Country,133,3,2.89,Vertical-Windows,4.0,3.16,4,4,2,9.21,False,ResidentialHP,C:\Git\Work\FOR2363\Model-Runner\src
17,City,104,8,3.07,Ribbon-Windows,2.95,2.42,4,5,2,7.95,False,EvapCoolers_ASHPBaseboard,C:\Git\Work\FOR2363\Model-Runner\src
18,Suburbs,161,10,4.05,Horizontal-Windows,3.47,2.74,5,5,3,13.0,True,ElectricBaseboard,C:\Git\Work\FOR2363\Model-Runner\src
19,Urban,38,1,3.69,Horizontal-Windows,2.42,3.37,4,4,2,7.32,True,EvapCoolers,C:\Git\Work\FOR2363\Model-Runner\src
